MSE,r2,model name,time,rmse,dif_rmse,dif_time
2636548.565161376,0.959883669058334,Lasso Regression,0.486872673034668,1623.7452279102704,,
2175057.358260819,0.9689822142633548,ols,0.7919578552246094,1474.8075665187032,-148.9376613915672,0.30508518218994135
2123265.3159899744,0.970746142782446,Ridge Regression,4.063063621520996,1457.1428605287726,-17.664705989930553,3.2711057662963867
2123061.44368064,0.9707469032362857,HUbber Regression,63.893662691116326,1457.0729026650108,-0.06995786376182878,59.83059906959533
2122211.2739156624,0.9707487912469775,Linear Regression,14.992600679397585,1456.7811345276484,-0.2917681373623964,-48.90106201171874
587570.5235082952,0.9882880185038635,Gradient Boost,3.272153615951538,766.5314889215545,-690.249645606094,-11.720447063446047
84686.63906728578,0.998462354063412,knn,0.9412319660186768,291.00968895774895,-475.5217999638055,-2.3309216499328613
78647.13057168508,0.9985011541869161,AdaBoost,1.0000624656677246,280.4409573719307,-10.568731585818227,0.05883049964904785
78020.61491278057,0.9985157187744537,RF,13.309382438659668,279.3217050513271,-1.1192523206036071,12.309319972991943
77889.08229306956,0.9985179025026666,Decision tree,10.673643112182617,279.08615568148406,-0.2355493698430564,-2.635739326477051
